,reward_id,rewards,remains,current_id
0,0,200,4900,15
1,1,0,5000,
2,2,200,4900,
3,3,0,5000,
4,4,0,5100,
5,5,0,5200,
6,6,0,5300,
7,7,300,5100,
8,8,0,5200,
9,9,0,5300,
10,10,0,5400,
11,11,0,5500,
12,12,0,5600,
13,13,1000,4700,
14,14,300,4500,
15,15,0,4600,
16,16,0,4700,
17,17,0,4800,
18,18,0,4900,
19,19,0,5000,
20,20,300,4800,
21,21,0,4900,
22,22,0,5000,
23,23,0,5100,
24,24,500,4700,
25,25,0,4800,
26,26,0,4900,
27,27,0,5000,
28,28,300,4800,
29,29,0,4900,
30,30,0,5000,
31,31,0,5100,
32,32,0,5200,
33,33,1000,4300,
34,34,0,4400,
35,35,0,4500,
36,36,0,4600,
37,37,0,4700,
38,38,0,4800,
39,39,200,4700,
40,40,0,4800,
41,41,0,4900,
42,42,0,5000,
43,43,500,4600,
44,44,0,4700,
45,45,0,4800,
46,46,0,4900,
47,47,0,5000,
48,48,500,4600,
49,49,0,4700,
50,50,0,4800,
51,51,0,4900,
52,52,300,4700,
53,53,0,4800,
54,54,0,4900,
55,55,0,5000,
56,56,200,4900,
57,57,0,5000,
58,58,200,4900,
59,59,0,5000,
60,60,0,5100,
61,61,0,5200,
62,62,0,5300,
63,63,300,5100,
64,64,0,5200,
65,65,300,5000,
66,66,0,5100,
67,67,200,5000,
68,68,0,5100,
69,69,0,5200,
70,70,0,5300,
71,71,200,5200,
72,72,500,4800,
73,73,200,4700,
74,74,0,4800,
75,75,500,4400,
76,76,0,4500,
77,77,0,4600,
78,78,0,4700,
79,79,0,4800,
80,80,200,4700,
81,81,200,4600,
82,82,0,4700,
83,83,0,4800,
84,84,0,4900,
85,85,0,5000,
86,86,1000,4100,
87,87,0,4200,
88,88,0,4300,
89,89,0,4400,
90,90,0,4500,
91,91,0,4600,
92,92,0,4700,
93,93,300,4500,
94,94,0,4600,
95,95,0,4700,
96,96,200,4600,
97,97,200,4500,
98,98,0,4600,
99,99,0,4700,
100,100,0,4800,
101,101,300,4600,
102,102,0,4700,
103,103,300,4500,
104,104,0,4600,
105,105,0,4700,
106,106,0,4800,
107,107,0,4900,
108,108,0,5000,
109,109,0,5100,
110,110,0,5200,
111,111,200,5100,
112,112,0,5200,
113,113,0,5300,
114,114,0,5400,
115,115,0,5500,
116,116,500,5100,
117,117,0,5200,
118,118,0,5300,
119,119,0,5400,
120,120,0,5500,
121,121,0,5600,
122,122,200,5500,
123,123,300,5300,
124,124,0,5400,
125,125,0,5500,
126,126,0,5600,
127,127,0,5700,
128,128,0,5800,
129,129,0,5900,
130,130,0,6000,
131,131,0,6100,
132,132,0,6200,
133,133,300,6000,
134,134,300,5800,
135,135,0,5900,
136,136,0,6000,
137,137,500,5600,
138,138,0,5700,
139,139,0,5800,
140,140,0,5900,
141,141,0,6000,
142,142,0,6100,
143,143,300,5900,
144,144,0,6000,
145,145,0,6100,
146,146,0,6200,
147,147,200,6100,
148,148,0,6200,
149,149,0,6300,
150,150,0,6400,
151,151,0,6500,
152,152,200,6400,
153,153,1000,5500,
154,154,0,5600,
155,155,200,5500,
156,156,300,5300,
157,157,0,5400,
158,158,0,5500,
159,159,0,5600,
160,160,0,5700,
161,161,0,5800,
162,162,0,5900,
163,163,0,6000,
164,164,300,5800,
165,165,0,5900,
166,166,0,6000,
167,167,0,6100,
168,168,0,6200,
169,169,200,6100,
170,170,0,6200,
171,171,0,6300,
172,172,1000,5400,
173,173,200,5300,
174,174,0,5400,
175,175,200,5300,
176,176,0,5400,
177,177,0,5500,
178,178,0,5600,
179,179,0,5700,
180,180,0,5800,
181,181,0,5900,
182,182,0,6000,
183,183,300,5800,
184,184,0,5900,
185,185,0,6000,
186,186,0,6100,
187,187,1000,5200,
188,188,300,5000,
189,189,0,5100,
190,190,0,5200,
191,191,0,5300,
192,192,500,4900,
193,193,0,5000,
194,194,0,5100,
195,195,200,5000,
196,196,0,5100,
197,197,1000,4200,
198,198,200,4100,
199,199,0,4200,
200,200,300,4000,
201,201,0,4100,
202,202,0,4200,
203,203,0,4300,
204,204,0,4400,
205,205,0,4500,
206,206,0,4600,
207,207,0,4700,
208,208,0,4800,
209,209,0,4900,
210,210,0,5000,
211,211,200,4900,
212,212,0,5000,
213,213,0,5100,
214,214,0,5200,
215,215,0,5300,
216,216,0,5400,
217,217,0,5500,
218,218,0,5600,
219,219,0,5700,
220,220,0,5800,
221,221,500,5400,
222,222,0,5500,
223,223,0,5600,
224,224,300,5400,
225,225,0,5500,
226,226,200,5400,
227,227,0,5500,
228,228,500,5100,
